ID,VALUE
0017000000NlGZVAA3,$2.88 bn
0017000000NlGZWAA3,2000
0017000000NlGZXAA3,300
0017000000NlGZaAAN,- $1 bn
0017000000NlGZcAAN,5300
0017000000NlGZlAAN,275
0017000000NlGZmAAN,1630
0017000000NlGZrAAN,110
0017000000NlGZwAAN,1900
0017000000NlGaNAAV,1070
0017000000NlGaRAAV,475
0017000000NlGaSAAV,350
0017000000NlGaZAAV,100
0017000000NlGamAAF,532
0017000000NlGavAAF,717.5
0017000000NlGb2AAF,20
0017000000NlGb5AAF,9000
0017000000NlGb6AAF,-$50 mm
0017000000NlGb9AAF,190
0017000000NlGbDAAV,- $408.4 mm
0017000000NlGbHAAV,875
0017000000NlGbLAAV,420
0017000000NlGbQAAV,350
0017000000NlGbfAAF,310
0017000000NlGc7AAF,20
0017000000NlGcAAAV,18 bn
0017000000NlGcRAAV,750
0017000000NlGcTAAV,100
0017000000NlGcYAAV,715
0017000000NlGcbAAF,1150
0017000000NlGciAAF,NA
0017000000NlGcpAAF,1150
0017000000NlGcwAAF,130
0017000000NlGcyAAF,360
0017000000NlGd0AAF,170
0017000000NlGd7AAF,575
0017000000NlGdoAAF,789.7
0017000000NlGdAAAV,80
0017000000NlGdGAAV,650
0017000000NlGdHAAV,230
0017000000NlGdOAAV,"1,500"
0017000000NlGdVAAV,175
0017000000NlGdkAAF,221
0017000000NlGdlAAF,$8 bn
0017000000NlGdpAAF,53
0017000000NlGdqAAF,1000
0017000000NlGdrAAF,300
0017000000NlGduAAF,142
0017000000NlGdxAAF,191
0017000000NlGe0AAF,1300
0017000000NlGe2AAF,-$500 mm
0017000000NlGeEAAV,"1,480"
0017000000NlGeLAAV,620
0017000000NlGeMAAV,85.5 mn
0017000000NlGeNAAV,3000
0017000000NlGeSAAV,40
0017000000NlGeYAAV,343
0017000000NlGehAAF,"$1,060 mm (buyout) $652 mm (growth)"
0017000000NlGeqAAF,330
0017000000NlGfDAAV,125
0017000000NlGfGAAV,477
0017000000NlGfPAAV,1000
0017000000NlGfQAAV,7300
0017000000NlGfSAAV,714
0017000000NlGfVAAV,193
0017000000NlGfhAAF,600
0017000000NlGfjAAF,400
0017000000NlGfpAAF,3420
0017000000NlGftAAF,200
0017000000NlGfxAAF,$100 mm
0017000000NlGg4AAF,115
0017000000NlGg7AAF,50
0017000000NlGgAAAV,1226
0017000000NlGgDAAV,$1.097 Bln
0017000000NlGgGAAV,590
0017000000NlGgIAAV,= $1.3 bn
0017000000NlGgQAAV,$250mm
0017000000NlGgUAAV,160
0017000000NlGgcAAF,750
0017000000NlGgdAAF,"$3,950 "
0017000000NlGgnAAF,380
0017000000NlGgoAAF,153.4
0017000000NlGgrAAF,2000
0017000000NlGguAAF,353
0017000000NlGgvAAF,1500
0017000000NlGgwAAF,"1,000"
0017000000NlGgzAAF,425
0017000000NlGh3AAF,"European Fund: $14,25012/18/13: Has raised $2bn towards $3.5bn target for Asian fund1800"
0017000000NlGhBAAV,375
0017000000NlGhEAAV,$2.2 bn
0017000000NlGhFAAV,200
0017000000NlGhIAAV,"10,900"
0017000000NlGhMAAV,320
0017000000NlGhVAAV,1300
0017000000NlGhfAAF,390
0017000000NlGhgAAF,200
0017000000NlGi3AAF,639
0017000000NlGiEAAV,620
0017000000NlGiIAAV,- $120mm
0017000000NlGiJAAV,"2,300"
0017000000NlGiRAAV,312
0017000000NlGiWAAV,"1,050"
0017000000NlGicAAF,3500
0017000000NlGidAAF,"1,960"
0017000000NlGijAAF,3250
0017000000NlGisAAF,372
0017000000NlGitAAF,$9.6 bn
0017000000NlGiwAAF,"4,700"
0017000000NlGizAAF,Has raised $72.3 million for a fund that is targeting $100 million
0017000000NlGj3AAF,950
0017000000NlGjBAAV,"4,100"
0017000000NlGjLAAV,400
0017000000NlGjMAAV,96
0017000000NlGjNAAV,- $525 mm
0017000000NlGjUAAV,"2,500"
0017000000NlGjbAAF,na
0017000000NlGjdAAF,670
0017000000NlGjeAAF,500
0017000000NlGjpAAF,-  $365 mm
0017000000NlGjuAAF,- $900 mm
0017000000NlGjyAAF,4130
0017000000NlGk1AAF,280
0017000000NlGkGAAV,1.2 bn
0017000000NlGkMAAV,"12,500"
0017000000NlGkRAAV,1650
0017000000NlGkSAAV,- $1.1 bn
0017000000NlGkXAAV,80
0017000000NlGkbAAF,200
0017000000NlGkeAAF,60
0017000000NlGkkAAF,500
0017000000NlGkmAAF,2430
0017000000NlGlFAAV,510
0017000000NlGlMAAV,"1,000"
0017000000NlGlQAAV,74.4
0017000000NlGlRAAV,280
0017000000NlGldAAF,$295mm
0017000000NlGlqAAF,1300
0017000000NlGlyAAF,~$400mm
0017000000NlGm3AAF,350
0017000000NlGm8AAF,3500
0017000000NlGmCAAV,- $325.39 mm
0017000000NlGmJAAV,300
0017000000NlGmTAAV,917
0017000000NlGmWAAV,4500
0017000000NlGmYAAV,180
0017000000NlGmaAAF,2100
0017000000NlGmdAAF,100
0017000000NlGmiAAF,1047
0017000000NlGmzAAF,"3,000"
0017000000NlGn1AAF,"1,300"
0017000000NlGn2AAF,- $616 mm
0017000000NlGn4AAF,750
0017000000NlGn5AAF,2478
0017000000NlGn9AAF,450
0017000000NlGnBAAV,132
0017000000NlGnDAAV,717
0017000000NlGnEAAV,6.5
0017000000NlGnGAAV,93
0017000000NlGnaAAF,450
0017000000NlGnhAAF,23
0017000000NlGniAAF,1000
0017000000NlGnjAAF,400
0017000000NlGnnAAF,814
0017000000NlGnuAAF,1000
0017000000NlGo2AAF,58
0017000000NlGo6AAF,"$1,056 "
0017000000NlGoBAAV,"1,200"
0017000000NlGoMAAV,700
0017000000NlGoPAAV,827
